title,description,category,resolution,priority,request_type
firewall rule request,ongoing firewall rule recurring; mtu failing after the upgrade; firewall rule degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease report,ongoing dhcp lease recurring; switch port erratic at multiple sites; dhcp lease flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency issue,ongoing latency stalling; gateway flapping after the upgrade; latency degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway ticket,gateway failing; dhcp lease intermittent across several users; gateway flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss alert,noticed that packet loss unstable; subnet unresponsive for the team; packet loss unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel case,tracking vpn tunnel flapping; routing table unstable at multiple sites; vpn tunnel unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway request,gateway stalling; mtu degraded during the night shift; gateway flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel issue,tracking vpn tunnel stalling; routing table recurring during the night shift; vpn tunnel flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet report,escalated because subnet failing; dns resolution stalling in production; subnet unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution request,tracking dns resolution degraded; switch port intermittent for the team; dns resolution flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port case,monitoring flagged switch port stalling; subnet intermittent for the team; switch port stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway issue,noticed that gateway delayed; dhcp lease delayed in production; gateway intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi request,monitoring flagged wifi unstable; dhcp lease intermittent in a branch office; wifi degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss fault,escalated because packet loss unstable; firewall rule degraded after the upgrade; packet loss unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency request,noticed that latency recurring; bandwidth erratic in production; latency recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
api endpoint issue,ongoing api endpoint erratic; frontend erratic across several users; api endpoint unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline issue,build pipeline unresponsive; backend erratic across several users; build pipeline erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline issue,tracking build pipeline degraded; microservice recurring after the upgrade; build pipeline recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown request,we are seeing exception thrown failing; backend erratic in production; exception thrown recurring,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown fault,users report exception thrown unstable; frontend failing in production; exception thrown erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
payload fault,escalated because payload unstable; stack trace failing after the upgrade; payload intermittent,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
backend fault,ongoing backend unstable; rollback stalling during the night shift; backend stalling,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
code regression case,users report code regression recurring; build pipeline failing in production; code regression stalling,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
stack trace case,monitoring flagged stack trace flapping; backend unresponsive in production; stack trace unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
stack trace case,tracking stack trace unstable; exception thrown stalling in one department; stack trace unresponsive,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
exception thrown issue,noticed that exception thrown unresponsive; payload delayed in one department; exception thrown flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
rest call request,noticed that rest call delayed; payload degraded across several users; rest call flapping,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
build pipeline alert,we are seeing build pipeline intermittent; microservice stalling at multiple sites; build pipeline erratic,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
api endpoint issue,api endpoint unresponsive; rollback degraded in production; api endpoint delayed,Application,Reviewed logs and stack trace; patched the defect and redeployed the service.,Medium,Incident
